OTUID	M	B	X	H	T	Y	J	D
OTU470	0	2	1	18	3	6	0	0
OTU471	1	1	2	5	5	7	2	0
OTU472	0	0	0	0	0	0	0	0
OTU473	8	2	4	4	2	2	3	4
OTU474	3	0	3	1	1	1	1	1
OTU475	46	42	34	43	45	42	47	48
OTU476	20	13	18	5	25	9	18	21
OTU477	2	2	3	2	0	4	1	5
OTU478	3	2	3	2	4	5	2	2
OTU479	2	2	4	1	1	0	1	0
OTU480	2	0	3	5	0	3	0	1
OTU481	1	1	1	2	0	1	1	0
OTU482	0	0	0	0	0	0	0	0
OTU483	0	0	0	1	0	1	2	0
OTU484	210	114	83	119	143	83	102	119
OTU485	0	0	3	2	1	1	0	3
OTU486	3	3	4	4	4	7	0	3
OTU487	1	2	3	4	4	1	4	6
OTU488	1017	701	959	830	1142	692	891	871
OTU489	3	1	0	1	2	0	2	3
OTU490	13	24	16	27	13	19	12	16
OTU491	0	0	2	2	1	0	3	3
OTU492	0	0	2	0	1	4	1	0
OTU493	0	0	0	2	2	2	0	1
OTU494	1	0	0	0	1	1	0	2
OTU495	1	0	1	1	0	0	1	3
OTU496	13	9	19	25	14	11	9	15
OTU497	0	1	0	1	0	1	1	0
OTU498	18	21	14	22	18	42	27	14
OTU499	1	0	11	3	6	2	3	5
OTU500	48	37	54	43	46	37	40	47
OTU501	1	3	0	3	3	7	0	3
OTU502	1	0	1	1	0	0	3	3
OTU503	33	10	19	43	36	24	8	5
OTU504	10	6	9	10	11	10	8	5
OTU505	88	32	59	79	72	66	81	83
OTU506	0	0	0	1	1	0	0	0
OTU507	1	0	0	0	1	0	0	0
OTU508	16	6	14	7	15	4	5	1
OTU509	2	1	0	3	1	1	1	0
OTU510	1	2	1	3	1	7	3	2
OTU511	1	0	1	0	0	1	1	1
OTU512	65	44	71	82	84	97	66	88
OTU513	161	137	110	132	144	125	96	147
OTU514	0	0	0	2	1	0	0	0
OTU515	2	3	0	6	2	3	2	5
OTU516	0	0	0	0	0	0	0	0
OTU517	1	3	0	1	1	1	1	1
OTU518	79	79	84	102	66	114	67	86
OTU519	9	8	10	11	8	8	5	1
OTU520	0	0	0	0	0	1	0	0
OTU521	1	2	2	2	0	5	2	1
OTU522	0	1	0	1	0	1	0	0
OTU523	6	7	9	4	7	4	5	2
OTU524	0	2	0	2	2	4	1	3
OTU525	0	1	0	1	3	1	0	0
OTU526	2	3	2	3	6	17	3	9
OTU527	0	0	2	2	0	0	0	1
OTU528	6	3	9	14	7	6	10	9
OTU529	0	0	0	0	0	0	0	0
OTU530	17	23	22	30	32	37	35	25
OTU531	5	5	4	7	8	8	1	3
OTU532	0	0	0	0	0	0	0	0
OTU533	0	0	0	0	0	1	0	0
OTU534	2	1	4	0	2	1	2	5
OTU535	0	1	1	0	1	1	1	0
OTU536	1	5	0	15	0	1	0	2
OTU537	6	37	21	26	138	52	1	25
OTU538	11	16	12	16	27	13	15	32
OTU539	1	1	0	1	1	6	3	1
OTU540	4	15	3	25	8	15	11	10
OTU541	1	2	1	0	0	0	1	0
OTU542	0	0	0	0	0	0	1	0
OTU543	3	11	4	12	1	23	9	8
OTU544	1	1	0	0	1	0	0	0
OTU545	7	4	1	8	4	3	4	4
OTU546	1	0	0	0	0	0	0	2
OTU547	0	0	0	0	0	0	1	0
OTU548	1	0	4	0	2	3	1	3
OTU549	3	2	3	1	6	6	1	2
OTU550	0	0	0	0	0	0	0	0
OTU551	25	18	22	34	32	44	31	33
OTU552	16	15	8	32	13	27	12	16
OTU553	1	0	0	1	0	3	0	1
OTU554	2	3	1	1	9	2	0	1
OTU555	1	1	1	2	0	2	0	2
OTU556	0	1	0	0	0	0	0	0
OTU557	4	0	2	1	1	0	0	4
OTU558	21	14	11	6	18	14	12	12
OTU559	11	7	7	8	8	8	10	17
OTU560	35	28	35	34	32	33	33	23
OTU561	0	0	0	0	0	0	0	0
OTU562	0	1	0	1	0	1	1	0
OTU563	17	8	2	11	15	11	8	12
OTU564	5	6	3	8	7	3	10	7
OTU565	0	0	0	0	0	0	0	0
OTU566	12	17	11	25	16	28	22	9
OTU567	13	7	15	17	17	14	14	17
OTU568	1	1	1	1	2	2	1	0
OTU569	10	8	14	47	16	16	9	13
OTU570	0	1	1	1	0	2	0	2
OTU571	17	28	18	32	27	22	16	29
OTU572	1	1	2	0	0	3	0	0
OTU573	5	7	1	8	6	6	1	3
OTU574	0	1	1	1	4	0	1	0
